timestamp_ms,event,details
1221,test,ThreadId(9) passed tests/diagnostics/invalid-namespace-nesting.slang duration_ms=0
1227,test,ThreadId(16) passed tests/diagnostics/generic-value-parameter-float-type.slang duration_ms=204
1229,batch_end,ThreadId(33) total_ms=542 test_sum_ms=91 overhead_ms=451 pred_ms=11 tests=1
1240,batch_end,ThreadId(16) total_ms=554 test_sum_ms=204 overhead_ms=350 pred_ms=1 tests=1
1241,test,ThreadId(23) passed tests/diagnostics/array-of-struct-with-unbounded.slang duration_ms=131
1249,test,ThreadId(8) passed tests/diagnostics/array-of-unbounded-arrays.slang duration_ms=71
1251,test,ThreadId(34) passed tests/diagnostics/gh-38-vs.hlsl duration_ms=133
1255,test,ThreadId(10) passed tests/diagnostics/register-bindings.slang duration_ms=180
1259,test,ThreadId(8) passed tests/diagnostics/int-literal-errors.slang duration_ms=9
1261,test,ThreadId(26) passed tests/diagnostics/wave-operations-types.slang duration_ms=138
1261,batch_end,ThreadId(34) total_ms=575 test_sum_ms=133 overhead_ms=442 pred_ms=10 tests=1
1261,batch_end,ThreadId(23) total_ms=575 test_sum_ms=131 overhead_ms=444 pred_ms=2 tests=1
1270,test,ThreadId(7) passed tests/diagnostics/uninitialized-existential.slang duration_ms=176
1271,test,ThreadId(14) passed tests/diagnostics/nested-constant-buffer-in-parameter-block.slang duration_ms=156
1271,batch_end,ThreadId(26) total_ms=585 test_sum_ms=138 overhead_ms=447 pred_ms=4 tests=1
1275,test,ThreadId(10) passed tests/diagnostics/illegal-texel-type.slang duration_ms=14
1275,test,ThreadId(10) passed tests/diagnostics/command-line/unknown-output-format.slang duration_ms=0
1275,test,ThreadId(10) passed tests/diagnostics/continue-outside-loop.slang duration_ms=0
1275,test,ThreadId(10) passed tests/diagnostics/invalid-constraint.slang duration_ms=3
1281,batch_end,ThreadId(14) total_ms=595 test_sum_ms=156 overhead_ms=439 pred_ms=3 tests=1
1284,test,ThreadId(17) passed tests/diagnostics/const-to-nodiff-function-diagnostic-improvement.slang duration_ms=261
1285,test,ThreadId(10) passed tests/diagnostics/setter-method.slang duration_ms=12
1290,test,ThreadId(31) passed tests/diagnostics/dangling-comparison.slang duration_ms=171
1292,test,ThreadId(9) passed tests/diagnostics/unresolved-symbol.slang duration_ms=78
1292,test,ThreadId(21) passed tests/diagnostics/ctor-noncopyable-retval-legal.slang duration_ms=179
1299,batch_end,ThreadId(17) total_ms=613 test_sum_ms=261 overhead_ms=352 pred_ms=3 tests=1
1303,batch_end,ThreadId(31) total_ms=617 test_sum_ms=171 overhead_ms=446 pred_ms=28 tests=1
